Metric                                                                                                          raw                  v6
---------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               160                 160
launch__block_size                                                                                              128                 128
launch__grid_dim_x                                                                                                1                   1
launch__grid_dim_y                                                                                               20                  20
launch__grid_dim_z                                                                                                8                   8
launch__block_dim_x                                                                                             128                 128
launch__waves_per_multiprocessor                                                                              1.905              0.9524
launch__registers_per_thread                                                                                    252                 250
launch__shared_mem_per_block                                                                              8.294e+04           5.107e+04
launch__thread_count                                                                                      2.048e+04           2.048e+04
launch__occupancy_limit_blocks                                                                                   16                  16
launch__occupancy_limit_registers                                                                                 2                   2
launch__occupancy_limit_shared_mem                                                                                1                   2
launch__occupancy_limit_warps                                                                                    12                  12
device__attribute_multiprocessor_count                                                                           84                  84
device__attribute_max_warps_per_multiprocessor                                                                   48                  48
gpu__time_duration.sum                                                                                    4.606e+05           4.446e+05
smsp__cycles_active.avg                                                                                   5.477e+05           5.248e+05
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              33.55               34.56
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              94.39               79.19
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                          31               63.15
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            20.28               69.41
sm__maximum_warps_per_active_cycle_pct                                                                        8.333               16.67
sm__warps_active.avg.pct_of_peak_sustained_active                                                             8.437               15.55
sm__warps_active.avg.per_cycle_active                                                                          4.05               7.466
sm__warps_active.max.per_cycle_active                                                                         4.378               8.293
sm__warps_active.min.per_cycle_active                                                                         2.389               2.362
smsp__warps_active.avg.per_cycle_active                                                                      0.9973               1.864
smsp__warps_eligible.avg.per_cycle_active                                                                   0.08856              0.2665
smsp__warps_eligible.max.per_cycle_active                                                                   0.09439              0.2919
sm__inst_executed.avg.per_cycle_active                                                                       0.3551              0.9403
smsp__issue_active.avg.per_cycle_active                                                                     0.08856              0.2358
smsp__issue_active.avg.pct_of_peak_sustained_active                                                           8.856               23.58
smsp__inst_executed.avg                                                                                   4.848e+04           1.236e+05
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                   2.157               5.639
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                  1.979               5.131
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                   3.605               19.18
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                   13.36               24.56
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                  12.26               22.35
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                    5.165               5.143
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                  0.1694               0.375
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                36.57               37.99
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                               33.55               34.56
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                 None                None
dram__bytes_read.sum                                                                                      2.996e+08           2.419e+08
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                            93.56               78.25
dram__bytes_read.sum.per_second                                                                           6.505e+11            5.44e+11
dram__bytes_write.sum                                                                                     2.644e+06           2.901e+06
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                          0.8257              0.9385
dram__sectors_read.sum                                                                                    9.363e+06           7.559e+06
dram__sectors_write.sum                                                                                   8.262e+04           9.066e+04
l1tex__t_sector_hit_rate.pct                                                                                 0.4144               48.32
lts__t_sector_hit_rate.pct                                                                                   0.4234               66.62
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                       0.3546               48.33
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                        33.01               31.88
smsp__sass_inst_executed_op_global_ld.sum                                                                 3.405e+04           6.854e+04
smsp__sass_inst_executed_op_global_st.sum                                                                      1120                1120
smsp__sass_inst_executed_op_local_ld.sum                                                                          0                   0
smsp__sass_inst_executed_op_local_st.sum                                                                          0                   0
smsp__sass_inst_executed_op_shared.sum                                                                         None                None
smsp__sass_inst_executed_op_shared_ld.sum                                                                 1.024e+04           7.723e+05
smsp__sass_inst_executed_op_shared_st.sum                                                                 2.048e+04           6.278e+05
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                            8.428e+06           1.274e+07
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                                 2.988e+04           6.159e+06
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                                8.398e+06           6.586e+06
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                            1.552e+04           1.552e+04
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                           5.587e+05           4.621e+05
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                                1120                1120
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                               21.28               21.28
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                                      4.578               2.487
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                                    0.1488              0.7945
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                                  2.17               1.595
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                             0.8022              0.3276
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                                   0                   0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                                   1.939              0.9446
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                                        0.2343              0.3051
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                                         0.2626           0.0005627
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                                             0                   0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                                             0              0.1299
