===== raw =====
Kernel: flash_fwd_splitkv_kernel

launch__grid_size                                                                               = 160
launch__block_size                                                                              = 128
launch__grid_dim_x                                                                              = 1
launch__grid_dim_y                                                                              = 20
launch__grid_dim_z                                                                              = 8
launch__block_dim_x                                                                             = 128
launch__waves_per_multiprocessor                                                                = 1.9047619047619047
launch__registers_per_thread                                                                    = 252
launch__shared_mem_per_block                                                                    = 82944
launch__thread_count                                                                            = 20480
launch__occupancy_limit_blocks                                                                  = 16.0
launch__occupancy_limit_registers                                                               = 2.0
launch__occupancy_limit_shared_mem                                                              = 1.0
launch__occupancy_limit_warps                                                                   = 12.0
device__attribute_multiprocessor_count                                                          = 84
device__attribute_max_warps_per_multiprocessor                                                  = 48
gpu__time_duration.sum                                                                          = 460576.0
smsp__cycles_active.avg                                                                         = 547704.4404761905
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                = 33.551699549588676
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                = 94.39062899718598
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                         = 30.998932086026294
l1tex__throughput.avg.pct_of_peak_sustained_active                                              = 20.2810051452905
sm__maximum_warps_per_active_cycle_pct                                                          = 8.333333333333332
sm__warps_active.avg.pct_of_peak_sustained_active                                               = 8.437046929628226
sm__warps_active.avg.per_cycle_active                                                           = 4.0497825262215486
sm__warps_active.max.per_cycle_active                                                           = 4.3780501026002305
sm__warps_active.min.per_cycle_active                                                           = 2.389323246501189
smsp__warps_active.avg.per_cycle_active                                                         = 0.9973065830408662
smsp__warps_eligible.avg.per_cycle_active                                                       = 0.08856288561785788
smsp__warps_eligible.max.per_cycle_active                                                       = 0.09439397634799251
sm__inst_executed.avg.per_cycle_active                                                          = 0.3550576074366499
smsp__issue_active.avg.per_cycle_active                                                         = 0.08856288561785788
smsp__issue_active.avg.pct_of_peak_sustained_active                                             = 8.856288561785789
smsp__inst_executed.avg                                                                         = 48482.28571428572
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                     = 2.1570002136442246
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                    = 1.9791028218661872
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                     = 3.6045324659229614
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                     = 13.361321119038891
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                    = 12.259353598242956
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                      = 5.1646366106165535
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                     = 0.16941581578418874
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                  = 36.567591282775105
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                 = 33.551699549588676
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                  = None
dram__bytes_read.sum                                                                            = 299618688.0
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                              = 93.56497026093629
dram__bytes_read.sum.per_second                                                                 = 650530396720.6282
dram__bytes_write.sum                                                                           = 2643968.0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                             = 0.8256587362496802
dram__sectors_read.sum                                                                          = 9363084.0
dram__sectors_write.sum                                                                         = 82624.0
l1tex__t_sector_hit_rate.pct                                                                    = 0.414352404558599
lts__t_sector_hit_rate.pct                                                                      = 0.4234116368614314
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                          = 0.35458939582637217
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                          = 33.0090206185567
smsp__sass_inst_executed_op_global_ld.sum                                                       = 34048.0
smsp__sass_inst_executed_op_global_st.sum                                                       = 1120.0
smsp__sass_inst_executed_op_local_ld.sum                                                        = 0.0
smsp__sass_inst_executed_op_local_st.sum                                                        = 0.0
smsp__sass_inst_executed_op_shared.sum                                                          = None
smsp__sass_inst_executed_op_shared_ld.sum                                                       = 10240.0
smsp__sass_inst_executed_op_shared_st.sum                                                       = 20480.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                  = 8427776.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                       = 29884.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                      = 8397892.0
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                  = 15520.0
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                 = 558656.0
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                 = 1120.0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                 = 21.278350515463917
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                        = 4.578127086131203
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                       = 0.1487984006981913
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                   = 2.170326783863063
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                = 0.8021548753622505
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                 = 0.0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                     = 1.9391282867610675
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                           = 0.23428345565425002
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                            = 0.262552496878166
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                       = 0.032133783348647985
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                         = 0.025239058364551672
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                  = 0.0019429244319832872
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                         = 0.04621645746452104
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                               = 0.0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                   = 2.0615884833777064e-05
smsp__pcsamp_sample_count                                                                       = 22514
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                = 9190
