split,layer,pages,escape_entries,key_escape_entries,value_escape_entries,max_tile_outliers,demand_mean,demand_p99,demand_max,overflow_128,overflow_256
calibration,0,32,224,60,164,3,7.0625,11.0,11.0,0,0
calibration,1,32,101,28,73,2,3.15625,10.450000000000006,12.0,0,0
calibration,2,32,134,56,78,2,4.1875,22.490000000000027,29.0,0,0
calibration,3,32,132,60,72,2,4.125,13.52000000000001,16.0,0,0
calibration,4,32,148,56,92,2,4.625,16.590000000000014,20.0,0,0
calibration,5,32,167,73,94,2,5.21875,15.52000000000001,18.0,0,0
calibration,6,32,135,52,83,2,4.21875,9.690000000000001,10.0,0,0
calibration,7,32,137,65,72,3,4.3125,14.210000000000012,17.0,0,0
calibration,8,32,129,71,58,2,4.03125,12.760000000000005,14.0,0,0
calibration,9,32,106,69,37,2,3.3125,10.760000000000005,12.0,0,0
calibration,10,32,123,71,52,2,3.84375,12.52000000000001,15.0,0,0
calibration,11,32,125,71,54,2,3.90625,9.760000000000005,11.0,0,0
calibration,12,32,135,76,59,2,4.21875,9.760000000000005,11.0,0,0
calibration,13,32,122,65,57,2,3.8125,10.380000000000003,11.0,0,0
calibration,14,32,135,74,61,2,4.21875,9.380000000000003,10.0,0,0
calibration,15,32,119,57,62,2,3.71875,11.450000000000006,13.0,0,0
calibration,16,32,128,56,72,2,4.0,12.830000000000009,15.0,0,0
calibration,17,32,123,69,54,3,3.875,13.52000000000001,16.0,0,0
calibration,18,32,110,60,50,2,3.4375,9.690000000000001,10.0,0,0
calibration,19,32,118,61,57,2,3.6875,12.52000000000001,15.0,0,0
calibration,20,32,126,69,57,2,3.9375,10.070000000000004,11.0,0,0
calibration,21,32,118,77,41,2,3.6875,14.970000000000017,19.0,0,0
calibration,22,32,114,64,50,2,3.5625,14.280000000000015,18.0,0,0
calibration,23,32,126,68,58,1,3.9375,12.830000000000009,15.0,0,0
calibration,24,32,128,77,51,2,4.0,9.380000000000003,10.0,0,0
calibration,25,32,129,76,53,2,4.03125,12.830000000000009,15.0,0,0
calibration,26,32,116,55,61,2,3.625,8.070000000000004,9.0,0,0
calibration,27,32,136,78,58,2,4.25,10.070000000000004,11.0,0,0
calibration,28,32,118,67,51,2,3.6875,8.380000000000003,9.0,0,0
calibration,29,32,104,54,50,1,3.25,10.450000000000006,12.0,0,0
calibration,30,32,113,65,48,2,3.53125,7.690000000000001,8.0,0,0
calibration,31,32,93,48,45,1,2.90625,7.690000000000001,8.0,0,0
evaluation,0,64,325,81,244,3,5.125,10.0,10.0,0,0
evaluation,1,64,197,70,127,3,3.09375,8.0,8.0,0,0
evaluation,2,64,251,114,137,2,3.921875,10.589999999999982,15.0,0,0
evaluation,3,64,274,111,163,2,4.28125,15.659999999999954,27.0,0,0
evaluation,4,64,291,143,148,2,4.546875,11.95999999999998,17.0,0,0
evaluation,5,64,268,129,139,2,4.1875,13.069999999999972,20.0,0,0
evaluation,6,64,259,120,139,2,4.046875,11.699999999999974,18.0,0,0
evaluation,7,64,241,117,124,2,3.765625,8.0,8.0,0,0
evaluation,8,64,248,135,113,2,3.875,9.95999999999998,15.0,0,0
evaluation,9,64,202,105,97,2,3.15625,11.219999999999985,15.0,0,0
evaluation,10,64,209,99,110,3,3.28125,9.47999999999999,12.0,0,0
evaluation,11,64,231,119,112,2,3.609375,7.739999999999995,9.0,0,0
evaluation,12,64,228,121,107,2,3.5625,6.369999999999997,7.0,0,0
evaluation,13,64,217,109,108,1,3.390625,8.369999999999997,9.0,0,0
evaluation,14,64,194,100,94,2,3.03125,6.369999999999997,7.0,0,0
evaluation,15,64,205,105,100,2,3.203125,9.109999999999992,11.0,0,0
evaluation,16,64,196,105,91,2,3.0625,8.0,8.0,0,0
evaluation,17,64,215,131,84,2,3.359375,9.47999999999999,12.0,0,0
evaluation,18,64,211,115,96,2,3.296875,9.47999999999999,12.0,0,0
evaluation,19,64,213,124,89,2,3.328125,7.739999999999995,9.0,0,0
evaluation,20,64,205,118,87,2,3.203125,8.739999999999995,10.0,0,0
evaluation,21,64,257,125,132,2,4.015625,8.369999999999997,9.0,0,0
evaluation,22,64,212,122,90,2,3.3125,7.369999999999997,8.0,0,0
evaluation,23,64,212,131,81,2,3.3125,10.219999999999985,14.0,0,0
evaluation,24,64,205,118,87,2,3.203125,9.109999999999992,11.0,0,0
evaluation,25,64,184,91,93,2,2.875,8.369999999999997,9.0,0,0
evaluation,26,64,198,94,104,2,3.09375,7.369999999999997,8.0,0,0
evaluation,27,64,204,104,100,2,3.1875,9.47999999999999,12.0,0,0
evaluation,28,64,189,97,92,2,2.953125,8.0,8.0,0,0
evaluation,29,64,192,110,82,1,3.0,7.47999999999999,10.0,0,0
evaluation,30,64,245,129,116,2,3.828125,9.0,9.0,0,0
evaluation,31,64,213,104,109,2,3.328125,6.369999999999997,7.0,0,0
